Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2025-09-15T14:06:17.848Z","Errored, Not Charged","auto","No","94290","60230","1321810","16724","1493054","0.49"
"2025-09-15T13:44:16.865Z","pro-free-trial","auto","No","10443","0","606655","3052","620150","0.17"
"2025-09-15T13:39:00.934Z","pro-free-trial","auto","No","15556","0","2084100","8345","2108001","0.57"
"2025-09-15T13:29:35.792Z","pro-free-trial","auto","No","68847","347","946024","3305","1018523","0.31"
"2025-09-15T11:41:23.258Z","pro-free-trial","auto","No","57331","0","827667","2812","887810","0.28"
"2025-09-15T11:12:35.837Z","Errored, Not Charged","auto","No","49576","1556","613372","20193","684697","0.28"
"2025-09-15T11:05:11.124Z","free","auto","No","0","6715","539136","1109","546960","0.09"
"2025-09-15T10:53:45.147Z","free","auto","No","0","10416","379776","1331","391523","0.07"
"2025-09-15T10:51:39.772Z","free","auto","No","0","127477","249472","1762","378711","0.21"
"2025-09-15T10:47:50.382Z","free","auto","No","0","116725","238976","2965","358666","0.21"
"2025-09-15T10:37:48.045Z","free","auto","No","0","2669","226944","687","230300","0.04"
"2025-09-15T10:29:18.627Z","free","auto","No","0","112918","1251968","8694","1373580","0.38"
"2025-09-15T07:57:01.616Z","free","auto","No","0","2901","188032","2471","193404","0.05"
"2025-09-15T07:50:30.588Z","free","auto","No","0","25928","867200","10003","903131","0.24"
"2025-09-15T07:45:18.718Z","free","auto","No","0","684","135680","773","137137","0.03"
"2025-09-15T07:27:06.544Z","free","auto","No","0","52033","958848","10020","1020901","0.29"
"2025-09-15T06:34:42.097Z","free","auto","No","0","95913","922112","20686","1038711","0.44"
